movie_title_imdb,Released_Year,Genre,IMDB_Rating,Meta_score,platform_imdb,movie_title_rt,tomatometer_rating,audience_rating,platform_rt,Gross_imdb
,,,,,,$9.99,73.0,55.0,Rotten Tomatoes,
(500) Days of Summer,2009,"Comedy, Drama, Romance",77.0,76.0,IMDb,,,,,32391374.0
,,,,,,1,82.0,39.0,Rotten Tomatoes,
,,,,,,1 Night (One Night),33.0,61.0,Rotten Tomatoes,
,,,,,,"1,000 Times Good Night",71.0,65.0,Rotten Tomatoes,
,,,,,,10,67.0,53.0,Rotten Tomatoes,
,,,,,,10 Cent Pistol,43.0,29.0,Rotten Tomatoes,
,,,,,,10 Cloverfield Lane,90.0,79.0,Rotten Tomatoes,
,,,,,,10 Minutes Gone,0.0,18.0,Rotten Tomatoes,
,,,,,,10 MPH,80.0,64.0,Rotten Tomatoes,
,,,,,,10 Questions for the Dalai Lama,79.0,73.0,Rotten Tomatoes,
,,,,,,10 Rules For Sleeping Around,0.0,11.0,Rotten Tomatoes,
,,,,,,10 Things I Hate About You,69.0,69.0,Rotten Tomatoes,
,,,,,,10 to Midnight,40.0,50.0,Rotten Tomatoes,
,,,,,,10 Years,60.0,40.0,Rotten Tomatoes,
,,,,,,"10,000 B.C.",8.0,37.0,Rotten Tomatoes,
,,,,,,100 Bloody Acres,79.0,47.0,Rotten Tomatoes,
,,,,,,100 Girls,60.0,50.0,Rotten Tomatoes,
,,,,,,100 Streets,41.0,36.0,Rotten Tomatoes,
,,,,,,1001 Grams,82.0,48.0,Rotten Tomatoes,
,,,,,,101 Dalmatians,98.0,76.0,Rotten Tomatoes,
,,,,,,101 Dalmatians,41.0,40.0,Rotten Tomatoes,
,,,,,,101 Dalmatians II: Patch's London Adventure,67.0,41.0,Rotten Tomatoes,
,,,,,,102 Dalmatians,31.0,32.0,Rotten Tomatoes,
,,,,,,10th & Wolf,19.0,52.0,Rotten Tomatoes,
,,,,,,10x10,67.0,21.0,Rotten Tomatoes,
,,,,,,11 Minutes (11 Minut),74.0,38.0,Rotten Tomatoes,
,,,,,,11-11-11,7.0,17.0,Rotten Tomatoes,
,,,,,,11/8/16,75.0,61.0,Rotten Tomatoes,
,,,,,,112 Weddings,76.0,61.0,Rotten Tomatoes,
,,,,,,11:14,92.0,76.0,Rotten Tomatoes,
,,,,,,11:55,100.0,79.0,Rotten Tomatoes,
,,,,,,12,77.0,84.0,Rotten Tomatoes,
12 Angry Men,1957,"Crime, Drama",90.0,96.0,IMDb,12 Angry Men,92.0,87.0,Rotten Tomatoes,4360000.0
,,,,,,12 Angry Men (Twelve Angry Men),100.0,97.0,Rotten Tomatoes,
,,,,,,12 O'clock Boys,92.0,64.0,Rotten Tomatoes,
,,,,,,12 Rounds,30.0,45.0,Rotten Tomatoes,
,,,,,,12 Strong,50.0,62.0,Rotten Tomatoes,
12 Years a Slave,2013,"Biography, Drama, History",81.0,96.0,IMDb,12 Years a Slave,95.0,90.0,Rotten Tomatoes,56671993.0
,,,,,,127 Hours,93.0,85.0,Rotten Tomatoes,
,,,,,,12:08 East of Bucharest (A fost sau n-a fost?),96.0,75.0,Rotten Tomatoes,
,,,,,,13,8.0,34.0,Rotten Tomatoes,
,,,,,,13 Assassins,95.0,88.0,Rotten Tomatoes,
,,,,,,13 Cameras,77.0,35.0,Rotten Tomatoes,
,,,,,,13 Ghosts,36.0,41.0,Rotten Tomatoes,
,,,,,,13 Going on 30,65.0,70.0,Rotten Tomatoes,
,,,,,,13 Hours: The Secret Soldiers Of Benghazi,51.0,82.0,Rotten Tomatoes,
