Title,Date,Rating,Content
Wow this American loves this movie,20 November 2011,9.0,"I asked my co-workers to recommend a Bollywood movie. I expected ""Dumb and Dumber"" by the title. It wasn't that at all. It is more of an inspirational comedy with some serious but good messages. A more accurate title would have been ""The Legend of Rancho"".Odd to me is that they speak in part English, part Hindi through the movie, kinda like some speak ""Spanglish"" here I suppose. I know none of the actors but the acting was good, and there was plenty of humor. The characters were believable. Most movie dancing I find a little silly but I even liked the dancing routines in the bathroom.I will be asking my co-workers for more recommendations after this one!"
Hat-Trick Heroes x 3...,2 October 2020,9.0,"Like Dead Poets Society but with Robin Williams as a student and some extra tonic and spice thrown in for good measure. Serious, sad and silly, often concurrently but overwhelmingly very, very funny and engaging, as engineering students at an Indian college end up teaching as much as they learn. Who could disagree with the distinction between education and learning while recognising the often sizable gulf that exists between the two after watching this. Who would dissuade those with aspiration and passion from pursuing their dreams and goals. Weighing in not too shy of three hours you'll be shocked how quickly the time flies as your attention is vacuumed up and your view of the world turned on its head, or inverted, depending what you've learned."
THE BEST OF BOLLYWOOD; please sing along....,15 June 2021,9.0,"When I was 13, I had my first movie-love;
There was nothing that compared to this movie;
Nobody could eva stop me watchn this cult;
It had me goin crazy, oh I was star-struck!Watched every weekend, didn't need no other work;
Made me laugh made me cry made me become what I am today;
Inspired me, motivated me to achieve success every day;I was choking in the crowd, it made me roar aloud;
I was nowhere in my career, it made me a flourisher;
I used to be havin a bad time, it took me to cloud nine;
I was in pieces, it fixed me;
It made me a it made me a believer, believer.I was in pieces, it fixed me.It gave me another chance, I grew up once again
Na na na.... Na na na.... Na na na.... Na na nana na...."
Wonderfully entertaining.,2 June 2011,9.0,"It's hard for me to review this film, as I have not seen a huge number of Indian films--probably no more than a couple dozen. Most of the ones I've seen were wonderfully entertaining but I am far from an expert on Bollywood. Because of this, I have a hard time knowing how good this film is relative to other films from this country. So, consider this when you read this review. This may be among the very best India has to offer or it just seems that way to me.Like so many Indian films, this is a very, very long film--with a run-time of almost three hours. When a movie is bad or just okay, this can seem like forever, but since ""3 Idiots"" is a very, very good film I loved its length. And, like most films of the genre, it has its share of the usual singing and dancing so foreign to films from other countries. One thing you should know, however, is that defining the type of film it is isn't really easy. Much of it is a comedy, but it also has many poignant moments (keep the Kleenex nearby), some existential moments where they explore the meaning of life and work and it's also a tender film about friendship. And, as my daughter pointed out when she saw the film, she loved that the men in the movie are not afraid to cry--something you rarely see in western films.As for the plot, it's very long and involved and I could recount what occurs. But I don't want to spoil a single wonderful moment, so my advice is just sit back and watch--and if you give it a chance, I can almost guarantee you'll have a great time with this poignant and funny film. Wonderful and well worth your time--with a delightful script, wonderful characters and lots of moments that made me smile...and a few that brought me to tears. See this film."
Finally a masterpiece from Bollywood. Aamir Khan is the best thing to happen to Bollywood.,9 September 2013,9.0,"Awesome film man. Saw this with my family in a theatre. Worth every penny n worth every minute. Never seen such an amazing film from Bollywood.
What is so great about the movie is that it moves you, it gives you hope. It is a simple film, yet it has an everlasting message. The last 30 mins were beautifully shot. Very good direction by Hirani. The star cast is good n Aamir khan steals the show.
The editing is top notch. U don't feel bore for even a sec. Awesome screenplay. It's hands down the best film in the history of Bollywood."
Missed this gem for 12 years - Thanks to my wife,2 May 2021,9.0,"Thought provoking movie, it shows how Indian Parents force their children's. In every aspects (what to study, what to wear, where to work, so & so.Really if i had seen this movie before 12 years, my life would have been different.Must seeeee!!!!!!"
easily the best Indian movie in 2009.... and one of the best ever,24 December 2009,10.0,"I was lucky to see the first day show of 3 idiots on Thursday in Dubai. Well the title of this post says it all. The movie is an example of classic film making. brilliant and highly entertaining.Watch 3 idiots for a) amir khan's incredible acting b) intelligent and highly energatic screenplay & direction (Rajkumar Hirani has done it yet again!) c) amazing chemistry among actors, d) some of the best comedy scenes coming from Indian cinema in a long time and e) a heart warming story which keeps you spell binded right till the end.I would rate it as among the best from amir khan (which obviously means among the very best from bollywood. I would also give a lot of credit to the director rajkumar hirani, who after this movie (and his previous munna bhai series) should rank as among the top in bollywood too. 9/10."
One of the better Bollywood movies I saw,6 February 2016,10.0,"Because the movie had such a high rating on IMDb I was intrigued. Bollywood movies are not particularly on the top of my list I must admit. But I gave it a shot and I'm glad I did. It only has two scenes where they start singing and dancing so that was not too much. Why they start singing and dancing that I will never get. The story does not need that at all. The story itself was very pleasant to follow. Full of mixed emotions, happy ones and sad ones. The cast and the filming was great. All actors gave a good performance throughout the whole movie. Like in most American television series they want to give you a lesson in life and most of the time it makes me want to barf but in this Bollywood movie it works perfectly well. I had fun watching this and I get why I am not the only one. Certainly worth a watch."
"Good, but they overdid it.",28 December 2009,10.0,"I was eager to watch this movie as the only bollywood films i like are those of aamir khan. When i saw the trailer of the movie, i thought that this movie could be the best of all time in bollywood, but it considerably failed to be. The plot was somewhat interesting , the cast was very appropriate, the acting was superb, the dialogues were wonderful , but the director maybe oozing with overconfidence, tried to put just too much in it. He tried to put it in ALL the good and bad things a teenager should do while he is in college. It was hard to identify the real protagonist in this movie, and even in the end i was left wondering whether raju was the man in the spotlight or aamir. What i hate to watch and hear is a meaningless song with meaningless lyrics and meaningless dance. And thats just what was very prominent in the movie. I don't understand the purpose of such futile non-sense, is it because people like it ? OH REALLY??? or is it because the director finds it attractive? attractive like - cow dung over cake.!? Another flaw i noticed was the change in character of aamir - from when he was a small kid to his teenage years. He looked and behaved like the most innocent one and out-of-all-activities one and later he became the most notorious and daring guy in college. Let the movie be pathetic or super-hit , boman irani was as always at his peak. His character was very well presented and he did just fine enough to make him the funniest as well as the most brutal character in the movie. The movie also had a lot of dramatic, sensitive scenes, at the wrong times, which did at times bring tears in my eyes, and left the other brain-left-at-home audience sob while staring at the screen. I wont say anything about Kareena because there isn't any need to publicize her flaws, there's a need to look for the minimal positivity in her enacting of her cameo. Rest was very appeasing , it was a pleasure to watch nonetheless, and the film was worth watching. 7/10"
"3 hours of stereotypes, melodrama and rehashed jokes from the nineties",29 December 2009,10.0,"I got to see this movie at a special screening before it hit the theaters. The high expectation was palpable. After all, Aamir Khan has been producing successive hits over the years. Now for the movie - which starts in an engineering college in India, goes on to show the lives of three of its students through the years till they graduate. This being a Bollywood film, obviously has a smattering of romance and song and dance sequences. Right from the start where Aamir jaywalks into the college building without a care in the world to the time he starts questioning the teaching methods in class, its just a matter of a couple of days. Some cheeky guy this is! Unfortunately, all his antics and funny lines are as old as the college building he is in. You would have heard these jokes a hundred times over. Anyways, that is the best part of the film since it at least elicits a few laughs. The rest of the 3 hours is filled with stereotypes and melodramatic scenes which are ridiculous at best. It seems that these days in India, anyone who can make the audience cry can laugh all the way to the bank. Aamir has this knowledge and isn't afraid to use it."
