"Title","Date","Rating","Content"
"I wasn't expecting this!","12 October 2022","8","I watched some of the next movies before this. I wasn't expecting this one can be this good!There was some minor flaws in it but the story was really good overall with it's effective twist and all. Amazing editing, scores and sound by the way.I believe this is not just an ordinary horror movie, it's also a really great crime movie.Even if the movie wasn't that good at most, the ending would save it, the ending is so perfect with that ""Hello Zepp"" score. That music makes the scene two times better.If I had to mention the minor flaws, here is one example. I don't know why the car parking and all the other areas so dark and feels abandoned? I know, It's because this is a horror movie and the movie tries to scare you. But it's a bit much actually."
"The First Great Franchise of the Twenty-First Century","21 February 2010","8","Two seemingly unrelated people (Cary Elwes and Leigh Whinnell) wake up in a secluded, dingy bathroom, chained to the wall. With nothing but their wits, a few clues, and a hacksaw, they must figure out who put them in their predicament and how to get out. Well, assuming they're able to get out. For an added bonus, one of the men has a kidnapped family on the outside.Falsely categorized as ""torture porn"" (the violence and gore here are more in line with ""Seven"" than ""Hostel""), this film was the first smart horror film of the 2000s. Intelligent horror fans not only got the blood they wanted, but a clever villain and a mystery to solve. Later sequels would get more complicated than episodes of ""Lost"", and the series loses something as it goes (all franchises do), but this original stands as one of the modern greats. And, luckily, you can watch it without any of the sequels and it makes sense.There has been an effort in recent years to academically analyze ""Saw"", injecting a false connotation on to the film. One scholarly article points to the ""militarization"" of Jigsaw in a post-9/11 world. Jigsaw, like the military, carries out violent acts, but has found ways to rationalize them with moral justifications (saving the worthy, letting the undeserving die). The author makes various other parallels about a ""military"" setting, mentioning IEDs and the industrial setting of Jigsaw's workshop. I find this to be largely silly, and not at all the creators' intention. I see a much more obvious line of progression from ""Silence of the Lambs"" to ""Seven"" to ""Saw"" with the advent of the brilliant, self-moralizing serial killer. Even Hitchcock's ""Rope"" offered a justification for murder, albeit a poor one. Terrorism or not, the horror film will go on.You can make complaints, sure. But for young writers and directors, this was a blockbuster and deserved the massive success it got. As someone who pays close attention to a film's writing and plot, I was stunned. My only real concern is at the very end, when the key's location is revealed. I can't discuss this in a review, but let's just say I found that to be uncharacteristic and unfair of the killer.If you haven't seen ""Saw"" yet, see it. And see the second film. After that, they start to go downhill. But the first two are quite good and must-see viewing for all horror fans."
"Game Over !","14 August 2021",NA,"One of the best movies I've watched. I didn't get any spoilers while watching this movie and the ending was devastating.The tension was perfect and you are looking forward to the end.Soundtrack is one of the best. I always watch it, even if the series gets worse as it goes."
"The game begins","3 November 2008","9","Not since Se7en's John Doe has there been a serial killer with such a bizarre philosophy behind his actions (not that Jigsaw actually kills anyone; more on that later). Sure, in light of the increasingly deteriorating sequels it's hard to think of Saw as little more than a franchise- starter (something the writer and director never planned), but viewed on its own, astonishing merits, it's a good, nasty thriller, filled with solid scares and (especially compared to the follow-ups) quite well written.According to the film's notorious back-story, it took only 28 days to shoot it. Not that strange, given most of the action takes place in just two locations: one is a bathroom where Adam (Leigh Whannell) and Dr. Lawrence Gordon (Cary Elwes) fins themselves with their feet chained to the wall, with no recollection whatsoever of how the hell they got there; the other is the lair of the mysterious Jigsaw, a serial killer whom Detectives Sing (Ken Leung) and Trapp (Danny Glover) have been tracking down for weeks.The two facts are linked in a most ingenious way: Jigsaw doesn't really kill anyone, but ""plays a game"" with his victims. In the case of Adam and Dr. Gordon, as the tape recorder found in a dead man's hand tells them, each of them has two hours to free himself and kill the other, or they will both die. Problem is, the only way to get rid of the chains is to saw your foot off. And so, while the two unfortunate cell-mates have to choose who gets to live (that's Jigsaw's perverse logic: he offers you a choice), the police close in on the elusive psycho, whose previous deeds and MO are shown in flashbacks.Whereas the subsequent Saw films use the messy chronology just for the hell of it (though they do get away with some neat narrative tweaks thanks to it), the first installment takes advantage of its non-linear storytelling to increase the suspense and provide some valuable clues to how everything fits together. It is to James Wan and co-writer Whannell's eternal credit that they, like Se7en writer Andrew Kevin Walker, went beyond slasher clichés and came up with something more. Okay, so Saw's philosophical undertones aren't entirely original, but what the heck, they do manage to keep the audience interested in what's going on. In addition, adding a little more depth to the killer ensures that the movie's more gruesome parts (and there are a lot of them) don't come off as gratuitous bloodletting (for an example of the latter, look no further than the countless sequels to A Nightmare on Elm Street or Friday 13th).Furthermore, the intelligence behind the film's structure might also have had a positive effect on the performances, given the acting is more convincing here than in most post-2000 shockers: Elwes and Whannell's desperation is conveyed with an intensity that's almost too painful to behold, Glover plays the aging cop role resisting the temptation to do a Lethal Weapon in-joke (you know, the ""too old for this sh*t"" gag) and when Jigsaw himself appears... well, it's the horror equivalent of Keyser Soze - chilling and impossible to forget (and, for once, not played by Kevin Spacey). Just like the movie."
"Two strangers mysteriously wake up to find themselves in a derelict basement. Together, they find out how to escape, and if they are really strangers...","9 November 2005","9","I have utmost respect for Wan. To my knowledge, he and his buddies were right out of film school. Instead of slowly building status by making mediocre films, he showed the world right from the get-go that he had something to prove.Along with Silence Of The Lambs, Saw is the only horror movie that truly chills me. You see, I am not easily frightened by gratuitous bloodshed and screams that you might see in films like The Texas Chainsaw Massacre. The plot has to be coherent, and there can't be anything ridiculous like a monster. Saw evokes strong emotions of terror and fear, all the while remaining plausible. Well, the story is actually unlikely, but everything in the film is physically possible.The scenes that are meant to be frightening don't require things that jump out at you every two seconds, or cheesy orchestral flailings. The situation is what frightens you, not the presentation. Saw does have some second-rate acting, but then again it is a low-budget film and I suppose they couldn't exactly afford Robert De Niro. The script is not fantastic, but one true redeeming quality of the whole film is the story. It is dense, complex, but so captivating. I can only think of a few mystery plot lines that can even compare to this one. The Usual Suspects is probably up there, but Saw stands alone.I strongly recommend this film who appreciate good stories, and aren't easily scared by the garbage you see in theaters like House Of Wax. For people who get squeamish, steer clear of this film. It is very nice graphic, and very sadistic at times. A brilliant debut, and a terrifying ride. 9/10."
"The best thriller in years","6 March 2005",NA,"Since ""Nattevagten"" I have not seen a thriller that has kept me on the edge of my seat as well as ""Saw"". Right from the beginning this original story sucks you in and doesn't let you go until the very end. Thrillers as gripping as this one have become extremely rare in times like these, where people have seen almost everything and can guess any twist during the first half of the movie. With ""Saw"" James Wan and Leigh Whannell, the creative heads behind this project, set new standards. Think you're hard-boiled? Think again and watch ""Saw"", a movie that will creep you out and surprise you beyond your expectations.""Saw"" has been advertised as the new ""Se7en"" and while both movies are definitely in the same tradition, ""Saw"" does a much better job at actually being creepy. Jigsaw is the most gruesome killer the cinema has seen in a loooong time. Wan and Whannel really came up with a monster that has no peer. Where many movies drift into ridiculousness trying to establish the villain as an almost superhuman evil being, ""Saw"" does never get anywhere near that trap. Sure, the cops are depicted way too stupid and the killer is unrealistically smart, outshining each and every opponent with his perfect plans, but hey, ""Se7en"" and ""Silence Of The Lambs"" didn't care too much about realism, either, did they?""Saw"" does have some flaws. Those sped-up tracking shots have just been used too many times by now, the structure of the script is weird and jumps from one period of time to another, some characters' lines are a bit clichéd. However, considering that this movie was made in only 18 days by two independent filmmakers with literally no budget at all, it's really inappropriate to be petty about technical subtleties, when Wan and Whannel came up with such an original and stirring movie.I can't remember the last time I've been surprised by a movie's final twist, but ""Saw"" has an ending that I didn't see coming at all. This thriller is the most original piece of independent film-making since ""Cube"". I'm really looking forward to seeing how Wan and Whannell's career develops after this fine sleeper."
"Tastefully done","12 August 2021","9","I was always terrified to watch this movie because I thought it would be over the top blood and gore. I finally found the nerve and was extremely surprised. Unlike other horror movies this one takes in the entire scene of the detectives trying to catch the murder while you're trying to figure out what is going on. Even though the movie keeps flashing back it helps take some intensity off of what's going on and adds a nice story to it. Instead of a meaningless film with blood and gore, this one had a well thought out storyline and a killer with rules. It reminded me a little of Silence of the lambs, they both have that edge that anything brutal and gory can happen any moment keeping up the intensity of the film. Don't get me wrong there is blood and gore in the film, but it's done in a tasteful way unlike some of the final destination movies."
"The first, the best!","2 February 2011","9","Okay, i have seen a lot of horror films. Saw was another one that i liked much. Saw 2,3,4...and so on were movies i disliked. The splatter was increasing for no apparent reason, the atmosphere and the whole set up and the feeling, that made the first a success, were all missing from the rest.So here we are. I review the first one that is the best in my opinion. I liked it. A friend of mine, a co-student at College, told me to watch the movie together. She couldn't remember how many times she had seen it. It was her favorite so she wanted to share it with me.I liked the flow of the movie. And then the movie ended. And i found my jaw fallen on the floor. Incredible movie. No i wont spoil you anything!!! Go and watch it!Warning though, it has extreme violence. I was about to eat something, while i was watching Saw. I reconsidered. I paused... i ate... then i watched the film."
"Carpentry","2 April 2020",NA,"I accidentally stumbled onto this one when I googled how to make a wooden pencil box. I wasn't disappointed"
"Nice idea, some nice surprises, large potholes...","2 May 2009","9","Only read this if you've already seen the movie!Just two things to add to my heading:Bad bad makeup job on Cary Elwes. Definitely not ""as you (read:I) wish""...;-)The biggest laugh (really, I think moviegoers are so often much smarter than movie makers....;-)): At the end, the mobile is ringing, he's reaching, reaching, but no, just cannot touch or grab the phone ---then: tada! - OK, I'll take the saw (get it?? get it??) and cut my foot off. The saw is the regular garden variety type, not a very big one, but BIG ENOUGH TO HAVE REACHED AND SHOVED OVER THE MOBILE PHONE!!! Geez, that was SO bad, it really made me angry while laughing...I hope I'm not the only person to have noticed that, but just in case no-one has....;-)"
